Date,"Crashes (Per interval, Daily): All Android versions","Crashes (Per interval, Daily): Android 14","Crashes (Per interval, Daily): Android 15","Crashes (Per interval, Daily): Android 8.1","Crashes (Per interval, Daily): Android 12",Notes
31 Jul 2024,108,20,0,13,22,
1 Aug 2024,91,11,0,6,17,
2 Aug 2024,70,8,0,2,18,
3 Aug 2024,76,11,0,2,8,
4 Aug 2024,103,11,0,1,15,
5 Aug 2024,68,15,0,2,6,
6 Aug 2024,77,12,0,1,19,
7 Aug 2024,64,15,0,2,6,
8 Aug 2024,98,15,0,6,22,
9 Aug 2024,72,7,0,6,14,
10 Aug 2024,89,14,0,5,18,
11 Aug 2024,104,8,0,7,30,
12 Aug 2024,103,8,0,6,22,
13 Aug 2024,86,11,0,3,19,
14 Aug 2024,87,13,0,10,28,
15 Aug 2024,118,16,0,4,28,
16 Aug 2024,84,11,0,6,26,
17 Aug 2024,71,11,0,4,13,
18 Aug 2024,60,6,0,2,9,
19 Aug 2024,80,16,0,2,22,
20 Aug 2024,62,7,0,1,15,
21 Aug 2024,74,10,0,4,18,
22 Aug 2024,91,17,0,2,29,
23 Aug 2024,56,12,0,3,9,
24 Aug 2024,81,15,0,1,15,
25 Aug 2024,111,29,0,4,26,
26 Aug 2024,83,11,0,6,21,
27 Aug 2024,79,13,0,5,10,
28 Aug 2024,90,14,0,4,13,
29 Aug 2024,95,14,0,2,17,
30 Aug 2024,106,16,0,2,20,
31 Aug 2024,101,13,0,10,17,
1 Sept 2024,144,32,0,3,12,
2 Sept 2024,82,12,0,2,16,
3 Sept 2024,111,20,0,10,28,
4 Sept 2024,84,8,0,6,27,
5 Sept 2024,70,11,0,4,12,
6 Sept 2024,43,5,0,1,6,
7 Sept 2024,81,9,0,5,14,
8 Sept 2024,97,14,0,6,18,
9 Sept 2024,64,13,0,5,15,
10 Sept 2024,98,4,0,3,14,
11 Sept 2024,84,7,0,3,12,
12 Sept 2024,80,12,0,2,22,
13 Sept 2024,106,6,0,8,12,
14 Sept 2024,99,22,0,0,15,
15 Sept 2024,107,25,0,5,15,Roll-out of release: Started roll-out of 13 (4.1) at 100%.
16 Sept 2024,84,17,0,4,14,
17 Sept 2024,57,6,0,3,13,
18 Sept 2024,67,3,0,7,5,
19 Sept 2024,24,2,0,3,11,
20 Sept 2024,78,12,0,5,13,
21 Sept 2024,78,14,0,3,11,
22 Sept 2024,61,10,0,1,14,
23 Sept 2024,48,12,0,4,9,
24 Sept 2024,84,17,0,1,11,
25 Sept 2024,87,8,0,3,11,
26 Sept 2024,94,5,0,0,13,
27 Sept 2024,76,15,0,1,19,
28 Sept 2024,82,26,0,0,12,
29 Sept 2024,82,14,0,1,21,
30 Sept 2024,58,6,0,1,14,
1 Oct 2024,90,15,0,2,15,
2 Oct 2024,54,11,0,4,10,
3 Oct 2024,74,7,0,9,17,
4 Oct 2024,64,8,0,1,5,
5 Oct 2024,58,13,0,1,13,
6 Oct 2024,56,10,0,15,9,
7 Oct 2024,67,17,0,1,13,
8 Oct 2024,111,31,0,2,9,
9 Oct 2024,71,14,0,12,13,
10 Oct 2024,105,19,0,3,11,
11 Oct 2024,96,20,0,12,15,
12 Oct 2024,90,25,0,4,22,
13 Oct 2024,95,11,0,7,16,
14 Oct 2024,96,29,0,6,13,
